statefips,countyfips,target
-0.9772938194902119,-1.5696752228679625,2.96
-0.7014940433168526,-2.4041020414735232,2.25
-0.7014940433168526,-2.082276702982297,2.18
-0.7014940433168526,-1.86874298697019,2.26
-0.7014940433168526,-1.704660426620146,2.28
-0.7014940433168526,-1.5696752228679625,2.15
-0.7014940433168526,-1.454108971920245,2.51
-0.7014940433168526,-1.352535328459298,2.42
-0.7014940433168526,-1.2615814172353588,2.37
-0.7014940433168526,-1.1789959480865158,2.45
-0.7014940433168526,-1.1031954733446314,2.5
-0.7014940433168526,-1.0330205937810208,2.55
-0.7014940433168526,-0.9675949095089756,2.37
-0.7014940433168526,-0.9062385567533586,2.19
-0.7014940433168526,-0.8484126810366042,2.36
-0.7014940433168526,-0.7936823851984369,2.18
-0.7014940433168526,-0.7416911983902218,2.37
-0.7014940433168526,-0.6921429962693284,2.17
-0.7014940433168526,-0.6447888926618692,2.14
-0.7014940433168526,-0.5994175387152672,2.27
-0.7014940433168526,-0.5558478131536311,2.43
-0.7014940433168526,-0.5139232255614766,2.27
-0.7014940433168526,-0.4735075697184635,2.3
-0.7014940433168526,-0.4344815042830214,2.36
-0.7014940433168526,-0.3967398316991988,2.64
-0.7014940433168526,-0.36018930990811704,2.69
-0.7014940433168526,-0.3247468756213473,2.73
-0.7014940433168526,-0.290338189061288,2.38
-0.7014940433168526,-0.2568964323718745,2.48
-0.7014940433168526,-0.2243613100898303,2.36
-0.7014940433168526,-0.19267821196853815,2.14
-0.7014940433168526,-0.1617975073017256,2.41
-0.7014940433168526,-0.13167394655485581,2.23
-0.7014940433168526,-0.10226615117333404,2.31
-0.7014940433168526,-0.07353617631883969,2.28
-0.7014940433168526,-0.045449134289415924,2.42
-0.7014940433168526,-0.017972868723021947,2.36
-0.7014940433168526,0.008922328472556626,2.3
-0.7014940433168526,0.035263964060709425,2.37
-0.7014940433168526,0.061077559721026665,2.34
-0.7014940433168526,0.08638684209709599,2.36
-0.7014940433168526,0.11121391039132836,2.33
-0.7014940433168526,0.13557938463830435,2.37
-0.7014940433168526,0.15950253728775815,2.37
-0.7014940433168526,0.1830014103175806,2.43
-0.7014940433168526,0.20609291975843996,2.39
-0.7014940433168526,0.2287929492308504,2.28
-0.7014940433168526,0.2511164338617944,2.24
-0.7014940433168526,0.2730774357526321,2.34
-0.7014940433168526,0.29468921200603754,2.29
-0.7014940433168526,0.3159642761815078,2.41
-0.7014940433168526,0.3369144539321443,2.24
-0.7014940433168526,0.3575509334761915,2.37
-0.7014940433168526,0.3778843114723592,2.34
-0.7014940433168526,0.3979246347957856,2.33
-0.7014940433168526,0.41768143864960566,2.23
-0.7014940433168526,0.437163781393963,2.4
